Issue Type;Issue key;Issue id;Summary;Created;Status;Assignee;Reporter;Labels;Updated;Environment;Custom field (Story Points);Custom field (上线备注);Inward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (问题分割);Outward issue link (需求分解);Outward issue link (需求分解)
周期性报告;FICC-89145;2858067;【Calypso下线项目】Tarf簿记;2025-11-27 16:21:46;Open;023824;015964;香港金控;2026-03-23 08:00:25;;;张天翼;FICC-71605;FICC-89186;FICC-89775;FICC-90491;FICC-90899;FICC-91101;FICC-91842;FICC-92317;FICC-92626;FICC-92669;FICC-93344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
周期性报告;FICC-86320;2744938;【海外交易能力建设】香港外汇期货做市项目;2025-09-16 14:59:24;Open;017164;017433;香港金控;2026-03-23 08:00:25;;;王轮樟;FICC-71605;FICC-86428;FICC-86580;FICC-87229;FICC-88213;FICC-88668;FICC-89190;FICC-89606;FICC-89777;FICC-90490;FICC-90901;FICC-91103;FICC-91843;FICC-92318;FICC-92627;FICC-92671;FICC-93342;;;;;;;;;;;;;;;;;;;;;;;;
周期性报告;FICC-71665;2218202;FICC交易日历优化项目;2024-09-9 14:45:35;Open;019040;017436;信息技术部;2026-03-16 08:00:10;;;戚挺;FICC-71605;FICC-71693;FICC-71976;FICC-72241;FICC-72584;FICC-74164;FICC-75151;FICC-76911;FICC-77441;FICC-78006;FICC-78691;FICC-79461;FICC-81423;FICC-81958;FICC-83160;FICC-83313;FICC-83945;FICC-84963;FICC-85730;FICC-86182;FICC-86827;FICC-87689;FICC-88323;FICC-88889;FICC-90084;FICC-91098;FICC-91521;FICC-92040;FICC-92633;FICC-92943;;;;;;;;;;FICC-71111;
周期性报告;FICC-71673;2218225;FICC人工智能专项项目;2024-09-9 14:52:03;Open;017573;017573;信息技术部;2026-03-4 16:57:41;;;;FICC-71605;FICC-71694;FICC-71968;FICC-72233;FICC-72576;FICC-73451;FICC-74158;FICC-75143;FICC-76546;FICC-76903;FICC-77433;FICC-77998;FICC-78683;FICC-79454;FICC-80411;FICC-81418;FICC-81951;FICC-83155;FICC-83306;FICC-83942;FICC-84727;FICC-84960;FICC-85728;FICC-86180;FICC-86825;FICC-87232;FICC-87687;FICC-88218;FICC-88321;FICC-88888;FICC-89608;FICC-90081;FICC-90671;FICC-91097;FICC-91522;FICC-91846;FICC-92041;FICC-92631;;FICC-59590;FICC-71692
周期性报告;FICC-83808;2649729;【海外交易能力建设】美国国债自营交易链路;2025-07-22 10:58:32;Open;015260;010713;香港金控;2026-03-23 08:00:25;;;张俊;FICC-71605;FICC-83823;FICC-83938;FICC-84725;FICC-85244;FICC-85896;FICC-86583;FICC-87231;FICC-88216;FICC-88671;FICC-89191;FICC-89781;FICC-90489;FICC-90903;FICC-91105;FICC-91844;FICC-92315;FICC-92629;FICC-92670;FICC-93343;;;;;;;;;;;;;;;;;;;;;
周期性报告;FICC-71671;2218220;O45迁移项目;2024-09-9 14:50:52;Open;017436;017436;信息技术部;2026-03-16 08:00:10;;;;FICC-71605;FICC-71697;FICC-71970;FICC-72235;FICC-72578;FICC-74159;FICC-75145;FICC-76548;FICC-76905;FICC-77435;FICC-78000;FICC-78685;FICC-79107;FICC-79456;FICC-79940;FICC-81419;FICC-81953;FICC-83159;FICC-83308;FICC-83944;FICC-84962;FICC-85729;FICC-86181;FICC-86826;FICC-87688;FICC-88322;FICC-89192;FICC-89607;FICC-89779;FICC-90082;FICC-90673;FICC-90905;FICC-91104;FICC-91523;FICC-91847;FICC-92039;FICC-92316;FICC-92632;FICC-92944;FICC-59614;
周期性报告;FICC-87146;2779275;【Calypso下线项目】美国国债簿记;2025-10-15 10:00:32;Open;019521;015964;香港金控;2026-03-23 08:00:25;;;戚挺;FICC-71605;FICC-87147;FICC-87228;FICC-88212;FICC-88317;FICC-88667;FICC-89187;FICC-89609;FICC-89774;FICC-90492;FICC-90900;FICC-91100;FICC-91845;FICC-92038;FICC-92314;FICC-92625;FICC-92672;FICC-93341;;;;;;;;;;;;;;;;;;;;;;;
周期性报告;FICC-77108;2414562;FICCUI测试专项;2025-02-14 13:41:20;Open;017485;017485;;2026-03-16 08:00:10;;;;FICC-71605;FICC-77138;FICC-77430;FICC-77994;FICC-78679;FICC-79451;FICC-80408;FICC-81416;FICC-81949;FICC-83161;FICC-83304;FICC-83940;FICC-84958;FICC-85726;FICC-86179;FICC-86823;FICC-87686;FICC-88217;FICC-88320;FICC-88887;FICC-89610;FICC-90087;FICC-90672;FICC-91099;FICC-91524;FICC-92630;FICC-92945;;;;;;;;;;;;;;
周期性报告;FICC-85209;2701008;境外本地化部署规划;2025-08-21 17:05:21;Open;017433;017433;;2026-03-16 08:00:10;;;;FICC-71605;FICC-85241;FICC-85724;FICC-86821;FICC-87685;FICC-88214;FICC-88318;FICC-88669;FICC-88886;FICC-89189;FICC-89603;FICC-89780;FICC-90086;FICC-91096;FICC-91525;FICC-92628;FICC-92673;FICC-92946;;;;;;;;;;;;;;;;;;;;;;;
周期性报告;FICC-71606;2216910;FICC策略平台整合项目;2024-09-8 20:56:04;Open;018045;018045;固定收益部;2026-03-16 08:00:10;;;陈治平;FICC-71605;FICC-71632;FICC-71647;FICC-71981;FICC-72246;FICC-72589;FICC-72887;FICC-73452;FICC-74166;FICC-75156;FICC-76556;FICC-76916;FICC-77443;FICC-78008;FICC-78693;FICC-79462;FICC-80416;FICC-81424;FICC-81959;FICC-83165;FICC-83314;FICC-83946;FICC-84728;FICC-85245;FICC-85897;FICC-86584;FICC-87233;FICC-88219;FICC-88504;FICC-88879;FICC-89605;FICC-90085;FICC-90670;FICC-91520;FICC-92634;FICC-92942;;;;FICC-56236;
